IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP44;IP_PROP45;IP_PROP46;IC_GROUP0;IC_GROUP1;IC_GROUP2;CP_QUANTITY;CP_WEIGHT;CP_WIDTH;CP_HEIGHT;CP_LENGTH;CV_QUANTITY_FROM;CV_QUANTITY_TO;CV_PRICE_1;CV_CURRENCY_1
2624337017753936220;Скатерть круглая Ботаника 220*160см;Скатерть круглая Ботаника 220*160см;;35366;;;;;;1;;;;;;;;
4287247497227894095;Скатерть овал 150*220см Розовый сад;Скатерть овал 150*220см Розовый сад;;35830;;;;;;1;;;;;;;;
4805069813498200865;Термокружка 250мл;Термокружка 250мл;;34768;;;;;;1;;;;;;;;
4805069813498200865;Термокружка 250мл;Термокружка 250мл;;36084;;;;;;1;;;;;;;;
5933408862975382275;Термос 3л;Термос 3л;;28644;;;;;;1;;;;;;;;
4067880968125177826;Термос с фильтром 1л;Термос с фильтром 1л;;35617;;;;;;1;;;;;;;;
4258428925854812235;Пакет бумажный подарочный;Пакет бумажный подарочный;;29883;;;;;;3;;;;;;;;
4258428925854812235;Пакет бумажный подарочный;Пакет бумажный подарочный;;34219;;;;;;11;;;;;;;;
4258428925854812235;Пакет бумажный подарочный;Пакет бумажный подарочный;;34220;;;;;;12;;;;;;;;
4258428925854812235;Пакет бумажный подарочный;Пакет бумажный подарочный;;14591;;;;;;8;;;;;;;;
4258428925854812235;Пакет бумажный подарочный;Пакет бумажный подарочный;;25294;;;;;;9;;;;;;;;
4258428925854812235;Пакет бумажный подарочный;Пакет бумажный подарочный;;09541;;;;;;5;;;;;;;;
4258428925854812235;Пакет бумажный подарочный;Пакет бумажный подарочный;;09549;;;;;;20;;;;;;;;
4258428925854812235;Пакет бумажный подарочный;Пакет бумажный подарочный;;13473;;;;;;2;;;;;;;;
4258428925854812235;Пакет бумажный подарочный;Пакет бумажный подарочный;;06092;;;;;;37;;;;;;;;
8091758734363303779;Пакет бумажный подарочный ;Пакет бумажный подарочный ;;32468;;;;;;10;;;;;;;;
8091758734363303779;Пакет бумажный подарочный ;Пакет бумажный подарочный ;;32470;;;;;;12;;;;;;;;
8091758734363303779;Пакет бумажный подарочный ;Пакет бумажный подарочный ;;34217;;;;;;38;;;;;;;;
8091758734363303779;Пакет бумажный подарочный ;Пакет бумажный подарочный ;;34218;;;;;;1;;;;;;;;
9079927556637914973;Фотоальбом 24\,5*22\,5см 20 фото 15*23см;Фотоальбом 24\,5*22\,5см 20 фото 15*23см;;17491;;;;;;1;;;;;;;;
8003841861290134930;Фоторамка 5*12см;Фоторамка 5*12см;;07560;;;;;;2;;;;;;;;
552523932713211768;Блюдо на ножке 30*28см;Блюдо на ножке 30*28см;;33987;;;;;;2;;;;;;;;
793325425347222259;Ваза 2-х ярусная 4-х секционная;Ваза 2-х ярусная 4-х секционная;;31024;;;;;;1;;;;;;;;
5719642609608317986;Ваза 40см;Ваза 40см;;24589;;;;;;1;;;;;;;;
2651563075007184131;Ваза декоративная;Ваза декоративная;;34985;;;;;;1;;;;;;;;
2651563075007184131;Ваза декоративная;Ваза декоративная;;34986;;;;;;1;;;;;;;;
2651563075007184131;Ваза декоративная;Ваза декоративная;;34987;;;;;;1;;;;;;;;
2651563075007184131;Ваза декоративная;Ваза декоративная;;34988;;;;;;1;;;;;;;;
2651563075007184131;Ваза декоративная;Ваза декоративная;;11004;;;;;;7;;;;;;;;
6752490787374882364;Ваза декоративная ;Ваза декоративная ;;25105;;;;;;2;;;;;;;;
854424241255701414;Ваза декоративная Candy 21см;Ваза декоративная Candy 21см;;35526;;;;;;1;;;;;;;;
3854329630853022652;Ваза резная 46см латунь;Ваза резная 46см латунь;;29828;;;;;;2;;;;;;;;
8888423754366620353;Декоративная чаша;Декоративная чаша;;32679;;;;;;1;;;;;;;;
8888423754366620353;Декоративная чаша;Декоративная чаша;;34744;;;;;;1;;;;;;;;
6413541022643429187;Конфетница 19см;Конфетница 19см;;36098;;;;;;1;;;;;;;;
4477431620100989409;Конфетница 22см;Конфетница 22см;;27473;;;;;;1;;;;;;;;
2093816411668833128;Конфетница Venezia;Конфетница Venezia;;21794;;;;;;1;;;;;;;;
5164607053244355631;Тортница Шахерезада 28см;Тортница Шахерезада 28см;;23877;;;;;;1;;;;;;;;
2543797659908920833;Фруктовница;Фруктовница;;29242;;;;;;1;;;;;;;;
2543797659908920833;Фруктовница;Фруктовница;;31319;;;;;;1;;;;;;;;
2013272500332416760;Фруктовница 2-х секционная;Фруктовница 2-х секционная;;31190;;;;;;1;;;;;;;;
2466823822395364856;Фруктовница 25см;Фруктовница 25см;;30578;;;;;;1;;;;;;;;
4124878428227543354;Фруктовница 30*30*6см;Фруктовница 30*30*6см;;27197;;;;;;1;;;;;;;;
8844089139476268487;Фруктовница 30см;Фруктовница 30см;;35230;;;;;;2;;;;;;;;
8958607449412658898;Фруктовница декоративная 32*29см ;Фруктовница декоративная 32*29см ;;23905;;;;;;1;;;;;;;;
4215664442172599099;Фруктовница декоративная 36*38см ;Фруктовница декоративная 36*38см ;;23252;;;;;;1;;;;;;;;
1868518525590897996;Фруктовница на ножке 27см;Фруктовница на ножке 27см;;35981;;;;;;3;;;;;;;;
2209540944119984460;Фруктовница на ножке 28см;Фруктовница на ножке 28см;;30559;;;;;;3;;;;;;;;
3530543537100262579;Фруктовница на ножке 30см;Фруктовница на ножке 30см;;36328;;;;;;1;;;;;;;;
7998196826115822738;Фруктовница на ножке 31см;Фруктовница на ножке 31см;;34990;;;;;;1;;;;;;;;
6043508641190121660;Чаша декоративная;Чаша декоративная;;30814;;;;;;1;;;;;;;;
6140128230780335611;Чаша декоративная 16 см;Чаша декоративная 16 см;;31478;;;;;;1;;;;;;;;
